"Campagna","CodStaz","codice_aziendale","Reg","Prov_","Stazione","cod_istat","Comune","Linea fisica","Saliti7-9","Discesi7-9","Corse7-9","Saliti24H","Corse24H","Saliti_S","Saliti_R","Saliti_RE","Corse_S","Corse_R","Corse_RE","Anno","tipo_giorno","Calendario","POINT_X","POINT_Y","Location"
"C_nov 2018","2.812","S01766","LO","BS","Sonico","17181","Sonico","Breno - Edolo","0","0","1","0","2","0","0","0","0","2","0","2018","Fer","Invernale","10.351165528","46.163878231","POINT (10.351165528 46.163878231)"
"C_nov 2020","307","S01917","LO","CR","GAZZO-PIEVE S.GIACOMO","19075","Pieve San Giacomo","CODOGNO-MANTOVA","10","10","1","10","8","0","10","10","0","7","1","2020","Feriale","Invernale","1.018994286","45.137237048","POINT (10.18994286 45.137237048)"
"C_nov 2016","208","S01529","LO","BG","BERGAMO","16024","Bergamo","LECCO-BRESCIA","3170","5380","34","16250","223","0","10110","6140","0","171","52","2016","Fer","Invernale","9.675111057","45.690343725","POINT (9.675111057 45.690343725)"
"C_nov 2017","306","S01916","LO","CR","VILLETTA MALAGNINO","19056","Malagnino","CODOGNO-MANTOVA","40","0","2","50","22","0","50","0","0","21","1","2017","Fer","Invernale","10.111974549","45.137104731","POINT (10.111974549 45.137104731)"
"C_nov 2018","2.798","S01761","LO","CO","Portichetto-Luisago","13135","Luisago","Saronno - Como","280","80","8","670","61","0","670","10","0","60","1","2018","Fer","Invernale","9.050289685","45.759200753","POINT (9.050289685 45.759200753)"
"C_nov 2022","2.729","S01076","LO","VA","Caronno Pertusella","12034","Caronno Pertusella","Milano Nord Cadorna - Sar","590","140","14","1420","122","1420","0","0","122","0","0","2022","Feriale","Invernale","9.058328414","45.598187372","POINT (9.058328414 45.598187372)"
"C_Luglio2023","271","S01843","LO","BS","CALVISANO","17034","Calvisano","BRESCIA-PARMA","40","30","4","140","25","0","140","0","0","25","0","2023","Feriale","estivo","10.349435029","45.346652138","POINT (10.349435029 45.346652138)"
"C_nov 2015","225","S01609","LO","CR","CASALBUTTANO","19016","Casalbuttano ed Uniti","BERGAMO-CREMONA","50","10","4","180","37","0","180","0","0","37","0","2015","FER","Invernale","9.962387322","45.255479026","POINT (9.962387322 45.255479026)"
"C_Novembre2023","124","S01316","LO","MI","CAMNAGO-LENTATE","108054","Lentate sul Seveso","CHIASSO-MILANO","710","370","16","2050","142","2050","0","0","142","0","0","2023","Feriale","Invernale","9.133490346","45.668502905","POINT (9.133490346 45.668502905)"
"C_Luglio2023","84","S01040","LO","MI","MAGENTA","15130","Magenta","TORINO-MILANO","490","210","8","1550","69","1550","0","0","69","0","0","2023","Feriale","estivo","8.880674725","45.468283265","POINT (8.880674725 45.468283265)"
"C_nov 2021","83","S01037","LO","MI","RHO","15182","Rho","TORINO-MILANO","1270","630","20","5070","143","5070","0","0","143","0","0","2021","Feriale","Invernale","9.043583998","45.523927896","POINT (9.043583998 45.523927896)"
"C_nov 2021","228","S01631","LO","MI","MILANO PORTA GENOVA","15146","Milano","MILANO-MORTARA-AL","250","2080","7","5580","46","0","5580","0","0","46","0","2021","Feriale","Invernale","9.169330605","45.453458231","POINT (9.169330605 45.453458231)"
"C_nov 2020","207","S01528","LO","BG","PONTE S.PIETRO","16170","Ponte San Pietro","LECCO-BRESCIA","130","80","10","530","71","0","530","0","0","71","0","2020","Feriale","Invernale","9.584359693","45.699232686","POINT (9.584359693 45.699232686)"
"C_nov 2015","2.853","S01748","PI","NO","Galliate","3068","Galliate","Saronno - Novara","210","90","6","550","43","0","550","0","0","43","0","2015","Fer","Invernale","8.691135844","45.481138261","POINT (8.691135844 45.481138261)"
"C_nov 2020","5.919","S01146","LO","VA","Malpensa Aeroporto T2","12140","Vizzola Ticino","Busto Arsizio - Malpensa","10","20","15","40","116","0","30","20","18","40","58","2020","Feriale","Invernale","8.721967232","4.565058598","POINT (8.721967232 45.65058598)"
"C_nov 2021","3","S00031","PI","NO","VESPOLATE","3158","Vespolate","NOVARA-MORTARA","0","0","0","10","2","0","10","0","0","2","0","2021","Feriale","Invernale","8.672069059","4.535153791","POINT (8.672069059 45.35153791)"
"C_nov 2019","2.758","S01074","LO","MI","Garbagnate Milanese","15105","Garbagnate Milanese","Milano Nord Cadorna - Sar","1190","430","17","3010","140","3010","0","0","140","0","0","2019","Fer","Invernale","0.908029848","45.579923026","POINT (9.08029848 45.579923026)"
"C_nov 2022","290","S01868","LO","PV","CHIGNOLO PO","18048","Chignolo Po","PAVIA-CASALPUST.","60","10","4","120","22","0","120","0","0","22","0","2022","Feriale","Invernale","9.494226195","45.161018526","POINT (9.494226195 45.161018526)"
"C_nov 2021","2.814","S01781","LO","BS","Toline","17143","Pisogne","Iseo - Pisogne","10","10","3","10","20","0","10","0","0","20","0","2021","Feriale","Invernale","10.088229762","45.787237456","POINT (10.088229762 45.787237456)"
"C_nov 2022","2.745","S01744","LO","VA","Cocquio-Trevisago","12053","Cocquio-Trevisago","Varese Nord - Laveno Momb","120","40","6","360","40","0","170","190","0","24","16","2022","Feriale","Invernale","8.690075387","45.860132463","POINT (8.690075387 45.860132463)"
"C_nov 2020","165","S01450","LO","CO","ALBATE TRECALLO","13075","Como","ALBATE-MOLTENO","10","10","3","10","13","0","10","0","0","13","0","2020","Feriale","Invernale","9.095790373","45.777467374","POINT (9.095790373 45.777467374)"
